age,p_death
0,0.0425
1,0.0045
5,0.002
10,0.001
15,0.002
20,0.003
25,0.003
30,0.004
35,0.005
40,0.0065
45,0.008
50,0.0105
55,0.014
60,0.0235
65,0.037
70,0.0625
75,0.106
80,0.1695
85,0.2795
95,1
