acute_SC,acute_CM,imm_tol_SC,imm_tol_CM,carrier_SC,carrier_CM,imm_react_SC,imm_react_T,chronic_SC,chronic_CM,chronic_T,CC_SC,CC_T,DCC_SC,DCC_T,HCC,no_infection,HBV_death,death,Age
0,0,0.0875766229200701,0.0103680467368103,0.203727703634155,0,0.265125205689324,0.0663838765214327,0.0420084324154252,0.0085448069085757,0.0038069907293607,0.0034093165052788,0.00718977451326852,0.000102755693248495,0.000355804941064952,0.00526510328831595,0.0572813577958531,0.0520733523026048,0.186780849405213,60
0,0,0.0767101593364593,0.00911195787464575,0.206337410434874,0,0.249621716126735,0.0658362951870285,0.0437973779429127,0.00929361041158361,0.0044684868023809,0.0036221769699653,0.00828819175200966,0.000110405412160755,0.000414207743820435,0.00505120323396687,0.0579246469136381,0.0547443781927411,0.204667775665079,61
0,0,0.0671920011210711,0.00800804417813242,0.207922121657858,0,0.234463779397787,0.0651789249365925,0.0453729334547029,0.0100156389289626,0.00518024631354697,0.00381738575397529,0.00944440655759515,0.000117532996990304,0.000475896742704733,0.00484384980586283,0.0585783025240641,0.057317345580735,0.22207159004942,62
0,0,0.0588548512179691,0.00703786962595167,0.208562760455404,0,0.219751704813345,0.0644292057145772,0.0467345328819857,0.0107045542938725,0.0059387349524505,0.0039939932097514,0.0106506557245757,0.000124090836641115,0.000540405717651382,0.00464368629975514,0.0592320719327376,0.0597949322612217,0.239005950062112,63
0,0,0.0515521707062691,0.00618523172076763,0.208341006481731,0,0.205560363859863,0.0636023673492588,0.047884282872071,0.0113549566597732,0.0067399444351849,0.00415140359107038,0.0118988928998236,0.000130044571311656,0.000607251412839743,0.00445112009207322,0.0598767335981653,0.0621801004222861,0.255484129327513,64
0,0,0.0445313321299531,0.0053607403323893,0.204471404318068,0,0.189289928133225,0.0618447175720462,0.0481515291948592,0.0117969935778778,0.0074747005847856,0.00423003495914024,0.012998708757464,0.000133500293289997,0.000666598324980213,0.0042073889745431,0.0596676183474522,0.064444251673157,0.280730552826771,65
0,0,0.0384666545385069,0.00464615364608181,0.199985947683419,0,0.17402416315186,0.0600727023158896,0.0482065234325832,0.0121793506917563,0.0082205820965432,0.00428674555685451,0.0140907472257504,0.000136214839472193,0.000725507392793173,0.00397721918986008,0.0594289760921795,0.0665934270861775,0.304959085060274,66
0,0,0.0332279193235622,0.00402682136505911,0.194985119590555,0,0.159751362168715,0.0582974369263193,0.048065245415728,0.0125016027961045,0.00897200488342562,0.00432260563075382,0.0151669086375491,0.000138214251698037,0.000783499406355432,0.00376013592757343,0.0591559686529602,0.068633512912787,0.328211642110855,67
0,0,0.0287026422188056,0.00349004607709673,0.189561414785421,0,0.146448487721572,0.0565282146575007,0.0477441764101444,0.0127641638997428,0.00972355461707725,0.0043388387214121,0.0162197263027272,0.000139531544871366,0.000840135056106725,0.00355559481584236,0.0588449045144577,0.0705701972822427,0.35052837137498,68
0,0,0.0247936580776686,0.00302482293501973,0.183799297631355,0,0.134084049941961,0.0547727621523976,0.0472599745226961,0.012968173636738,0.0104700531814361,0.00433677821218761,0.0172424137440051,0.00014020507019442,0.000895017772838256,0.00336300794458061,0.0584931194718064,0.0724089413704532,0.371947724334663,69
0,0,0.0208499168396895,0.0025521943514229,0.173067875811781,0,0.119373495854273,0.0516330416680308,0.0453944745187707,0.0127680945197353,0.0109098645081961,0.00420349446769883,0.0177461968681112,0.000136562564481507,0.000922697947730595,0.00309751180976982,0.0565604179201124,0.0741087276221051,0.406675432728093,70
0,0,0.0175334769423764,0.00215341398401307,0.162593019234255,0,0.106162145951883,0.0486452447842248,0.0434711239193083,0.0125178358760057,0.0113053059515365,0.00405959234334719,0.0181718183105612,0.000132487077197926,0.000945998215678447,0.00285388191662413,0.0546479031358408,0.0756803296509432,0.439126422706206,71
0,0,0.0147445582662296,0.00181694304901103,0.152430290375881,0,0.0943183405287499,0.045806799546212,0.0415121021648164,0.0122240321591789,0.0116549167316035,0.0039074595482751,0.0185198307636555,0.000128060866153049,0.000964949238337698,0.00263031007693872,0.0527567187451719,0.0771336872559033,0.469451000683884,72
0,0,0.0123992519670075,0.00153304569760306,0.142622749528713,0,0.0837177924468454,0.0431142129854185,0.0395370298473388,0.0118931217823388,0.011957887149309,0.00374927358852465,0.0187916477296068,0.000123360042517501,0.000979633455245114,0.00242511727348867,0.0508884577958725,0.0784779610225241,0.497789457687648,73
0,0,0.0104269959510053,0.00129350730735258,0.133202571520959,0,0.0742441384064821,0.0405632977079801,0.0375630742234782,0.0115312636855828,0.012214001352862,0.00358699867396376,0.0189894198753687,0.000118454216659901,0.000990177328551481,0.0022367513218981,0.0490450174604622,0.0797215869491331,0.524272744018262,74
0,0,0.00836159573903831,0.00104075597949588,0.118430000680269,0,0.0627365653906329,0.0363792277042116,0.0339530062460839,0.0106271800575737,0.0118471226856006,0.00326358889162544,0.0182289374764445,0.000108144299553362,0.00095049499519354,0.00196802292428643,0.0450370765990506,0.0808189353952232,0.566249344935718,75
0,0,0.00670531413185812,0.000837392261102389,0.105127908826872,0,0.0529724613190281,0.0326160731521321,0.0306231256608604,0.00976425288252248,0.0114463905883593,0.00296175169637891,0.0174363067367172,9.84581920661021e-05,0.000908921803106488,0.00173222404658274,0.0413219106856328,0.081787400796144,0.603660107220639,76
0,0,0.0053771120979914,0.000673765813282982,0.0931805823323687,0,0.0446962798607366,0.0292336322661486,0.0275632486550364,0.00894578695609921,0.011018704972921,0.00268138603789601,0.0166222041480828,8.9407070495667e-05,0.000866065467652395,0.00152523960639005,0.037881631657868,0.0826422816861719,0.63700267137086,77
0,0,0.00431200297939707,0.000542111973367487,0.082475345249587,0,0.0376880470686989,0.0261951019096444,0.0247612106613791,0.00817389154032965,0.0105705002642791,0.00242208996138796,0.0157962072120184,8.0990412155516e-05,0.000822470847516617,0.00134347483253359,0.0346992131081853,0.0833970356327067,0.666720306346815,78
0,0,0.00345787280523214,0.00043618329377148,0.0729039594440256,0,0.031758836241407,0.0234668859176411,0.0222034742997393,0.00744965963895652,0.0101076985496005,0.00218322749573288,0.0149667962378997,7.31983159610338e-05,0.000778619848229979,0.00118379022334317,0.031758426105249,0.0840635034862265,0.693207868096985,79
