Age,HIV_SC,AIDS_SC,ART,HIV_death,death
40,0.925,0,0.075,0,0
41,0.8537393875,0,0.1397606125,0,0.0065
42,0.690426726325738,0,0.296615523674263,0,0.01295775
43,0.408133676799749,0.0720235900234852,0.500469208551766,0,0.019373524625
44,0.241261080700828,0.0563499063920618,0.654638119410511,0.0220032967816622,0.0257475967149375
45,0.142401940272857,0.0358903322904263,0.738502416663032,0.0498397212067207,0.0333655895669647
46,0.0840513212266508,0.0216862039530005,0.780760238142825,0.0728022895967485,0.0406999470807752
47,0.0496104518408184,0.0128959831258329,0.800814966330309,0.0888866695156846,0.047791929187355
48,0.0292820730945246,0.0076300416014487,0.808443490150765,0.0999458947555306,0.0546985003977307
49,0.0172834508233122,0.00450705347773833,0.809063125266238,0.107685025196207,0.0614613452365046
50,0.0101756748808521,0.00265420524453783,0.80374504275304,0.113239768774609,0.0701853083469612
51,0.0059909540252889,0.00156279687815635,0.796341050488603,0.117345853570767,0.0787593450371847
52,0.0035271891597739,0.000920124741697576,0.787886975152108,0.120465470494619,0.0872002404518012
53,0.00207664143578978,0.000541730346370236,0.778969307719289,0.122892570011688,0.0955197504868638
54,0.00122262783692482,0.000318945972788639,0.769913916178559,0.124818088890099,0.103726421121629
55,0.000717279073088687,0.000187116200321975,0.758204913626855,0.12636389311827,0.114526797981465
56,0.00042080611380894,0.000109775492838984,0.746695537230371,0.127619552856913,0.125154328306069
57,0.000246874322788291,6.44019943809429e-05,0.735424704302104,0.128648525410941,0.135615493969787
58,0.000144833758950206,3.77827191817466e-05,0.724404404207043,0.129497181616369,0.145915797698457
59,8.49696213633176e-05,2.21659880784063e-05,0.713632460478863,0.130200387923647,0.156060015988049
60,4.93688369804614e-05,1.28788270189579e-05,0.696325467721594,0.130779388118283,0.172832896496124
61,2.86841582402952e-05,7.48282388512154e-06,0.679508570816013,0.131257254394177,0.189198007807686
62,1.66659979103807e-05,4.34765162810865e-06,0.663159361269854,0.131652315934666,0.205167309145942
63,9.68323644089463e-06,2.52606168010437e-06,0.647256433523376,0.131979309221956,0.220752047956548
64,5.6261298287975e-06,1.46768604227075e-06,0.631779856477123,0.132250188644153,0.235962861062853
65,3.22368799995353e-06,8.40962086939905e-07,0.608185345635791,0.132471611490429,0.259338978223694
66,1.84712486865338e-06,4.81858661387004e-07,0.585503002500599,0.1326526821116,0.281841986404271
67,1.05837484286535e-06,2.76097785095155e-07,0.56369218469045,0.132800797167738,0.303505683669184
68,6.06432909339205e-07,1.58199889392807e-07,0.542714912212911,0.132921979276073,0.324362343878218
69,3.47476960557724e-07,9.06461636237489e-08,0.522535597994461,0.133021139960906,0.344442823921509
70,1.93826992061106e-07,5.05635631463744e-08,0.489798289167689,0.133100140262898,0.377101326178858
71,1.08119119009085e-07,2.82049875675873e-08,0.459123045767408,0.133163083382238,0.407713734526248
72,6.03101960722555e-08,1.57330946275449e-08,0.4303777550848,0.133213235464942,0.436408933406968
73,3.3641781246555e-08,8.77611684692739e-09,0.40343921251197,0.133253197217658,0.463307547852474
74,1.8765806101594e-08,4.89542767867668e-09,0.378192435092233,0.133285039960943,0.48852250128559
75,9.98209523962087e-09,2.60402484511849e-09,0.338079849184847,0.133309236315575,0.528610901913458
76,5.30977592081153e-09,1.38515893586388e-09,0.302225003421626,0.133327622622259,0.56444736726118
77,2.82442910555728e-09,7.36807592754073e-10,0.270175183996187,0.133341594109041,0.596483218333536
78,1.50239857411908e-09,3.91930062813674e-10,0.241525998991583,0.133352210899466,0.625121788214623
79,7.99170873531164e-10,2.08479358312478e-10,0.215916176161047,0.133360278522773,0.650723544308529
80,3.94908289228241e-10,1.03019553711715e-10,0.179312689541117,0.133365973622332,0.687321336338624
81,1.95142943851412e-10,5.09068549177597e-11,0.148915168536715,0.133369993916994,0.717714837300242
82,9.64293978468156e-11,2.51554950904737e-11,0.12367120953513,0.133372831934365,0.74295595840892
83,4.76503458725093e-11,1.24305250102198e-11,0.102706936136924,0.133374835357262,0.763918228445734
84,2.35462992870358e-11,6.1425128574876e-12,0.0852966962178466,0.133376249621339,0.781327054131126
85,1.0094239638604e-11,2.63327990572279e-12,0.061455403503901,0.13337711575106,0.805167480732312
86,4.32737529747045e-12,1.1288805123836e-12,0.0442780877891904,0.133377646190144,0.82234426601521
87,1.85513497158734e-12,4.83948253457567e-13,0.0319020373997236,0.133377971044124,0.834719991553813
88,7.95291724482063e-13,2.07467406386625e-13,0.0229852189985599,0.133378169992748,0.84363661100769
89,3.40939574056149e-13,8.89407584494302e-14,0.0165607284476765,0.133378291833826,0.850060979718068
90,1.46159943048936e-13,3.81286807953746e-14,0.0119319302281678,0.133378366452335,0.854689703319314
91,6.26584021852212e-14,1.63456701352751e-14,0.00859691003121446,0.133378412150569,0.858024677818138
92,2.68615003707989e-14,7.0073479228171e-15,0.00619404569077453,0.133378440137308,0.860427514171884
93,1.15154580552106e-14,3.00403253614188e-15,0.00446279278043568,0.133378457277085,0.862158749942465
94,4.93664807962362e-15,1.28782123816268e-15,0.00321543170148052,0.133378467773912,0.863406100524601
95,0,0,0,0.133378467773912,0.866621532226088
