acute_SC,acute_T,no_infection,chronic_SC,chronic_T,chronic_TF,CC_SC,CC_T,CC_TF,DCC_SC,DCC_T,DCC_TF,HCC,HCV_death,death,Age
0.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,40
0,0,0.373108925,0.6169635,0,0.003427575,0,0,0,0,0,0,0,0,0.0065,41
0,0,0.3706837169875,0.545589676476225,0.061295323725,0.0033678375091125,0.006068237048775,0,3.74582533875e-05,0,0,0,0,0,0.01295775,42
0,0,0.42612633174183,0.482472780119783,0.054204334357913,0.00635398635912431,0.0091643690114469,0.00180863805238739,7.02987094847691e-05,0.000270089949156517,0,2.3817455833908e-06,0.000153265328291198,0,0.019373524625,43
0,0,0.476222954270659,0.426657602944319,0.0479336707049005,0.00893584621709364,0.0104814577858948,0.00273144018386175,0.00022214122626384,0.000469397303797108,0.0001878340551409,6.27769902102301e-06,0.000297736502036112,0.000106044392074647,0.0257475967149375,44
0,0,0.520336985951628,0.376729788921692,0.0423244342120765,0.011144361560399,0.0107406108448684,0.0031192818370823,0.000431315073848825,0.000572537929471678,0.000325949487756712,2.81776640636724e-05,0.000396540420567721,0.000309248510463171,0.0335407675860814,45
0,0,0.559307622866005,0.332644567638245,0.0373715950610319,0.0130328913314878,0.0104122400646511,0.00319640578743283,0.000661401750398587,0.000607505818810733,0.000397570338225133,6.49059394631357e-05,0.000452768696535115,0.000580557250405499,0.041269967457309,46
0,0,0.593439116169413,0.293718234217563,0.0329983411097139,0.0146400444056538,0.00977406932066603,0.00309868264324017,0.000891256120021722,0.000600863019059247,0.000421852040582173,0.000110901995753109,0.000477994476199262,0.000893481222487099,0.0489351632596473,47
0,0,0.623106991787886,0.259347091474837,0.0291368488343823,0.0159998896048959,0.00899295039724729,0.00290876302983021,0.0011091602876146,0.000570991340657944,0.000417239280434741,0.000161559221518147,0.000483102538387492,0.00122887809851838,0.0565365341037903,48
0,0,0.648715126772299,0.228998087352778,0.0257272314743038,0.0171424873948735,0.00816723019621974,0.00267630203822079,0.00130912374643052,0.000529485349930875,0.000396496386952876,0.000213557231927585,0.000476171778452949,0.00157428947143895,0.0640744108061718,49
0,0,0.668976366047446,0.201690969978404,0.0226593607435574,0.018048758650369,0.00733460550948263,0.00242444228374783,0.00148483759977417,0.000482133830467356,0.000366748027629621,0.000263965416436597,0.000461457185252061,0.00192125527417641,0.0738850994532569,50
0,0,0.685876268459363,0.177640118487811,0.0199573214793631,0.0187838668437977,0.00654805788198577,0.00217727764548992,0.00163872311999726,0.000434484899059876,0.000333949997673214,0.00031172870177238,0.000443639335784441,0.00226543041928382,0.0835891327286188,51
0,0,0.699795565529442,0.156457236036608,0.0175774897243689,0.019369571723468,0.00582213254547422,0.00194379098226748,0.00177153868468549,0.000388811094191723,0.000300945965333823,0.000355959274386549,0.000424795983683598,0.0026045026405247,0.0931876598155659,52
0,0,0.711081100718702,0.137800328645325,0.0154814435058223,0.0198250094210607,0.00516209300393686,0.00172830004612402,0.00188464093791843,0.000346272596897315,0.000269310004391897,0.000396174683790848,0.000406115065834486,0.00293736926042007,0.102681842109777,53
0,0,0.720045496480452,0.121368183765668,0.0136353425194549,0.0201670059245465,0.00456787025668521,0.00153236730821866,0.00197965994708878,0.000307365857604491,0.000239845714240925,0.000432173998886625,0.000388231421309972,0.00326361641545422,0.11207284039039,54
0,0,0.724397116805837,0.106517402884643,0.0119669029192948,0.0203381588815544,0.00402219303505791,0.00135117602192749,0.00205102729159939,0.000271237598273573,0.00021214391491862,0.000462307257070458,0.000370132169064917,0.00358207122564997,0.124458129995108,55
0,0,0.726929316919903,0.0934837843433144,0.0105026159244258,0.0204228052999045,0.00353826484603543,0.00118976469977013,0.00210728226767567,0.000238968838817969,0.00018720819032842,0.00048814462719478,0.00035335143392779,0.00389292543068512,0.136665567178017,56
0,0,0.727879917325589,0.0820449776137683,0.00921750113625079,0.0204331592444973,0.00311043196954912,0.00104661874145728,0.00215016343031682,0.000210299920038033,0.000164936292552162,0.000509928604246933,0.000337871684403359,0.00419644575583538,0.148697748281496,57
0,0,0.727458495397714,0.072005839289979,0.00808963479271756,0.0203798997759257,0.00273301197532356,0.000920065776592629,0.00218127137718281,0.000184922420593798,0.00014514900481025,0.000527946529623166,0.000323618361050044,0.00449291573351515,0.160557229564973,58
0,0,0.725849424058224,0.0631951039862822,0.00709977575399193,0.020272359781374,0.00240057017847669,0.000808424942300708,0.00220205985586773,0.00016251563112047,0.00012763345469384,0.000542507027474138,0.000310491109490867,0.00478260668990931,0.172246527530794,59
0,0,0.716246605038872,0.0549280879498223,0.00617100190426045,0.0199248503251087,0.00208774795946975,0.000703247033784746,0.00219250720472881,0.000141391464672326,0.000111087559652397,0.000548586833996707,0.000295506778055772,0.00506303707096826,0.191586342876608,60
0,0,0.70589493185596,0.0477425410436596,0.00536372778830015,0.019543892730677,0.00181538115696771,0.000611605764726664,0.00217524377306761,0.000122978488528394,9.66481356767684e-05,0.000551717793522668,0.000281676283939005,0.00533457273713455,0.21046508244784,61
0,0,0.694939226570414,0.0414969883420618,0.00466205913291336,0.0191365645370033,0.00157835726501917,0.00053181590993369,0.00215150536518982,0.000106942125385894,8.40619458335838e-05,0.000552269733052464,0.000268873498287163,0.00559754502391374,0.228893790550993,62
0,0,0.683504364941983,0.0360684622941724,0.00405218091160234,0.018708924899574,0.0013721634079021,0.000462379760787367,0.00212237180997381,9.29838344069402e-05,7.31002898075279e-05,0.000550583429073086,0.000256985299206712,0.00585225495652844,0.246883244164982,63
0,0,0.671697870748953,0.0313500816382739,0.00352208534302594,0.0182661509806342,0.0011928345166839,0.000401975270344921,0.0020887840738247,8.08393723553628e-05,6.35591000088639e-05,0.000546969435212235,0.000245911643092556,0.00609897794196397,0.264443959935627,64
0,0,0.650493123426027,0.0268722334825771,0.00301901286176577,0.0175663984662796,0.00102256304624177,0.000344609891869979,0.00202319760338883,6.93045777831103e-05,5.44938209047501e-05,0.000534219227210959,0.000232308149679428,0.00633466421211586,0.291433871234156,65
0,0,0.629551941807482,0.0230339729469968,0.00258779608437218,0.016875726333368,0.000876570586877264,0.000295418464059247,0.00195617918810394,5.94127026526378e-05,4.67182158835946e-05,0.000520359772642997,0.000219666215177217,0.00655980225974005,0.317416435422644,66
0,0,0.608938968950039,0.0197439453652773,0.00221817159479579,0.0161971622714465,0.00075140559723735,0.000253241242548841,0.0018884094704235,5.09309068517028e-05,4.00501028581431e-05,0.000505658054062195,0.000207889231505381,0.00677485258455859,0.342429314628396,67
0,0,0.588705838969732,0.0169238445961569,0.0019013419386762,0.015533095689751,0.000644103113716872,0.00021708107704187,0.00182045459378621,4.36588902261977e-05,3.43325243087329e-05,0.000490343676365048,0.000196893195181825,0.00698025129354072,0.366508760441517,68
0,0,0.568893171333646,0.0145065492542628,0.00162976623460991,0.0148853786809359,0.00055211777528727,0.000186081389552804,0.00175278253293561,3.74245269603891e-05,2.94304579014799e-05,0.000474612902269106,0.000186604927562415,0.00717641297675753,0.389689667007319,69
